rowid,orderid,orderdate,shipdate,shipmode,customerid,customername,segment_x,country,city,state,postalcode,region,productid,category,sub-category,productname,sales,quantity,discount,profit,rscore,fscore,mscore,segment_y
227,CA-2017-100221,2016-12-23,2016-12-31,Same Day,CG-62354,Amy Martinez,Consumer,United States,Chicago,Indiana,36920,Central,PRD-2871,Technology,Accessories,Accessories Item,4995.71,3,0.46,602.26,4,3,5,Loyal
228,CA-2015-147739,2015-04-08,2015-04-22,Standard Class,CG-56285,Amy Martinez,Consumer,United States,Houston,Arkansas,67870,South,PRD-1553,Furniture,Furnishings,Furnishings Item,4410.87,8,0.35,922.39,2,3,5,At Risk
229,CA-2017-109171,2017-07-30,2017-08-01,Same Day,CG-97773,Mike Johnson,Corporate,United States,San Francisco,Arizona,94815,West,PRD-7294,Office Supplies,Pens,Pens Item,1846.71,6,0.05,-108.71,5,5,2,Loyal
230,CA-2016-181678,2015-04-22,2015-05-05,First Class,CG-61792,Mike Johnson,Consumer,United States,Miami,Florida,26119,South,PRD-5572,Office Supplies,Binders,3-Ring Binder,114.48,2,0.41,19.93,2,3,1,At Risk
231,CA-2016-186951,2014-04-18,2014-05-01,Second Class,CG-63143,Sarah Williams,Consumer,United States,Baltimore,Maryland,10863,East,PRD-9115,Technology,Accessories,Accessories Item,4029.2,8,0.24,504.11,5,5,5,Champion
232,CA-2014-194339,2014-07-25,2014-07-29,Standard Class,CG-86818,Sarah Williams,Consumer,United States,Philadelphia,Maryland,47585,East,PRD-7302,Furniture,Furnishings,Furnishings Item,728.48,6,0.36,196.7,1,5,1,At Risk
233,CA-2016-166469,2016-04-26,2016-04-30,Same Day,CG-36255,John Smith,Consumer,United States,Philadelphia,Connecticut,58815,East,PRD-4370,Office Supplies,Binders,3-Ring Binder,2305.06,9,0.06,739.57,3,2,3,Regular
234,CA-2016-187410,2015-11-08,2015-11-21,First Class,CG-77861,Chris Wilson,Consumer,United States,San Francisco,Colorado,29871,West,PRD-8062,Office Supplies,Paper,Specialty Paper,3556.32,9,0.37,1322.43,3,4,4,Loyal
235,CA-2017-142753,2016-08-25,2016-09-06,First Class,CG-12014,John Smith,Home Office,United States,San Francisco,California,66206,West,PRD-5999,Technology,Phones,Google Pixel,2712.08,10,0.41,-335.96,4,1,3,Regular
236,CA-2017-191384,2014-07-25,2014-08-04,Standard Class,CG-18993,David Brown,Home Office,United States,Denver,Nevada,77653,West,PRD-1425,Furniture,Bookcases,Bookcases Item,1142.66,2,0.34,401.25,1,1,2,At Risk
237,CA-2016-172667,2017-10-27,2017-11-08,First Class,CG-21818,Chris Wilson,Home Office,United States,Dallas,Alabama,29082,South,PRD-5301,Technology,Machines,Machines Item,2017.13,5,0.12,626.37,5,1,3,Regular
238,CA-2015-125144,2014-10-09,2014-10-15,First Class,CG-82036,Sarah Williams,Corporate,United States,Chicago,Michigan,21112,Central,PRD-6586,Technology,Computers,Dell Laptop,4202.28,5,0.2,1172.57,1,4,5,At Risk
239,CA-2017-187153,2014-01-11,2014-01-25,First Class,CG-47289,Sarah Williams,Corporate,United States,Dallas,Florida,31538,South,PRD-8004,Technology,Accessories,Accessories Item,1771.18,5,0.34,656.82,1,3,2,At Risk
240,CA-2017-188777,2017-02-01,2017-02-13,First Class,CG-83284,Sarah Williams,Home Office,United States,Denver,Arizona,14861,West,PRD-7358,Technology,Phones,iPhone,4709.99,5,0.44,1013.01,4,5,5,Champion
241,CA-2015-180676,2014-11-20,2014-11-30,Same Day,CG-86406,Jane Doe,Corporate,United States,Boston,Massachusetts,92786,East,PRD-9761,Technology,Machines,Machines Item,2111.49,10,0.29,-131.17,1,5,3,At Risk
242,CA-2016-153225,2016-04-13,2016-04-24,Standard Class,CG-55625,Mike Johnson,Home Office,United States,Dallas,Georgia,99243,South,PRD-9501,Office Supplies,Storage,Storage Item,2094.45,9,0.36,638.93,3,3,3,Loyal
243,CA-2014-139829,2017-08-30,2017-09-06,Second Class,CG-55544,Amy Martinez,Consumer,United States,Houston,Florida,11035,South,PRD-8656,Office Supplies,Paper,Cardstock,3669.91,4,0.42,219.79,5,3,4,Loyal
244,CA-2016-127549,2016-09-01,2016-09-04,Second Class,CG-46242,Kate Taylor,Consumer,United States,Nashville,Kentucky,29249,South,PRD-1248,Technology,Computers,Dell Laptop,2225.03,6,0.25,515.12,4,2,3,Regular
245,CA-2017-176019,2016-09-04,2016-09-14,First Class,CG-39661,Amy Martinez,Consumer,United States,San Francisco,Nevada,81358,West,PRD-2401,Office Supplies,Pens,Pens Item,1948.33,6,0.12,448.21,4,2,2,Regular
246,CA-2016-160946,2017-08-25,2017-08-28,Same Day,CG-89477,Lisa Davis,Home Office,United States,Denver,Colorado,35859,West,PRD-6530,Furniture,Bookcases,Bookcases Item,1824.17,4,0.21,-90.36,5,5,2,Loyal
247,CA-2017-157954,2015-02-13,2015-02-26,First Class,CG-35496,Amy Martinez,Corporate,United States,Atlanta,Alabama,80442,South,PRD-1632,Technology,Accessories,Accessories Item,1636.79,10,0.31,624.34,2,2,2,At Risk
248,CA-2015-167000,2015-08-12,2015-08-16,First Class,CG-69606,Sarah Williams,Home Office,United States,Miami,Georgia,78219,South,PRD-6926,Technology,Machines,Machines Item,2000.43,4,0.19,378.13,2,4,3,At Risk
249,CA-2017-196463,2015-10-20,2015-11-03,Same Day,CG-62947,Chris Wilson,Corporate,United States,Atlanta,Arkansas,77065,South,PRD-1202,Office Supplies,Pens,Pens Item,3619.31,6,0.41,-76.43,3,3,4,Loyal
250,CA-2015-186356,2015-08-08,2015-08-12,Standard Class,CG-85354,Chris Wilson,Corporate,United States,Houston,Kentucky,93320,South,PRD-6259,Furniture,Bookcases,Bookcases Item,1037.52,5,0.15,169.49,2,5,2,At Risk
251,CA-2014-137196,2017-08-15,2017-08-28,Second Class,CG-10609,John Smith,Consumer,United States,Boston,Connecticut,80770,East,PRD-8581,Office Supplies,Paper,Cardstock,1092.63,4,0.07,336.18,5,1,2,Regular
252,CA-2016-112240,2014-05-02,2014-05-03,Same Day,CG-44223,Kate Taylor,Consumer,United States,Houston,Arkansas,65410,South,PRD-1145,Furniture,Furnishings,Furnishings Item,962.92,6,0.49,159.69,1,2,2,At Risk
253,CA-2015-188184,2014-07-03,2014-07-13,Second Class,CG-32942,Chris Wilson,Home Office,United States,Indianapolis,Illinois,44046,Central,PRD-8867,Office Supplies,Binders,Presentation Binder,981.06,9,0.21,129.62,1,2,2,At Risk
254,CA-2016-129444,2017-08-28,2017-09-03,Same Day,CG-63363,Lisa Davis,Home Office,United States,Atlanta,Alabama,95322,South,PRD-1959,Technology,Computers,HP Desktop,4369.29,7,0.29,-700.79,5,3,5,Loyal
255,CA-2015-119313,2017-03-21,2017-03-30,Same Day,CG-76353,Chris Wilson,Consumer,United States,Indianapolis,Kansas,85030,Central,PRD-6145,Technology,Phones,Samsung Galaxy,3300.04,5,0.13,-493.66,5,4,4,Champion
256,CA-2014-106057,2015-04-21,2015-04-26,First Class,CG-23954,Kate Taylor,Home Office,United States,Indianapolis,Kansas,40945,Central,PRD-3945,Furniture,Furnishings,Furnishings Item,3098.19,5,0.31,25.0,2,1,4,At Risk
257,CA-2015-162277,2016-12-31,2017-01-10,Standard Class,CG-83220,Kate Taylor,Consumer,United States,Philadelphia,Maine,47294,East,PRD-5252,Office Supplies,Pens,Pens Item,4502.77,10,0.44,790.86,4,5,5,Champion
258,CA-2014-159692,2014-03-18,2014-03-27,Second Class,CG-19487,Kate Taylor,Home Office,United States,Hartford,Maryland,42457,East,PRD-3858,Office Supplies,Paper,Copy Paper,2745.55,7,0.35,286.97,1,1,3,At Risk
259,CA-2017-182544,2014-12-25,2014-12-28,Standard Class,CG-75951,Tom Anderson,Corporate,United States,Milwaukee,Iowa,86332,Central,PRD-2875,Furniture,Chairs,Executive Chair,3822.24,4,0.13,1442.74,2,4,4,At Risk
260,CA-2015-194155,2016-05-05,2016-05-11,First Class,CG-48568,Tom Anderson,Home Office,United States,Baltimore,Maine,22843,East,PRD-9302,Technology,Phones,iPhone,2046.96,10,0.3,513.18,3,3,3,Loyal
261,CA-2017-164799,2014-12-27,2015-01-08,Same Day,CG-54560,John Smith,Consumer,United States,Baltimore,Maryland,20740,East,PRD-6199,Office Supplies,Labels,Labels Item,3223.56,3,0.0,-575.47,2,3,4,At Risk
262,CA-2017-131979,2014-03-16,2014-03-21,Second Class,CG-25336,Tom Anderson,Home Office,United States,Kansas City,Illinois,27047,Central,PRD-5244,Furniture,Tables,Conference Table,1075.43,5,0.06,207.45,1,1,2,At Risk
263,CA-2015-185990,2016-03-24,2016-03-29,Standard Class,CG-77277,Jane Doe,Corporate,United States,Denver,California,20233,West,PRD-6789,Office Supplies,Binders,Sheet Protectors,715.24,4,0.3,-103.71,3,4,1,Loyal
264,CA-2014-198430,2016-10-11,2016-10-21,Second Class,CG-43776,Amy Martinez,Corporate,United States,Dallas,Kentucky,87101,South,PRD-4845,Technology,Phones,Google Pixel,552.16,6,0.37,195.57,4,2,1,Regular
265,CA-2014-155724,2015-01-17,2015-01-22,Second Class,CG-80504,Amy Martinez,Corporate,United States,Phoenix,Colorado,75382,West,PRD-9305,Office Supplies,Binders,3-Ring Binder,3264.66,9,0.35,-192.06,2,4,4,At Risk
266,CA-2015-123053,2015-08-16,2015-08-30,Second Class,CG-85352,John Smith,Consumer,United States,Denver,Nevada,64646,West,PRD-2268,Office Supplies,Binders,Sheet Protectors,1508.6,9,0.29,190.66,2,5,2,At Risk
267,CA-2017-106582,2014-03-18,2014-03-27,Standard Class,CG-42786,Sarah Williams,Home Office,United States,Hartford,Delaware,26662,East,PRD-7084,Furniture,Tables,Training Table,4166.11,6,0.41,285.58,1,2,5,At Risk
268,CA-2015-115906,2014-01-19,2014-01-30,Second Class,CG-68034,Tom Anderson,Consumer,United States,San Francisco,Nevada,77264,West,PRD-2169,Technology,Accessories,Accessories Item,3875.14,4,0.29,335.44,1,4,4,At Risk
269,CA-2017-117477,2015-09-04,2015-09-18,Standard Class,CG-59424,Tom Anderson,Consumer,United States,Kansas City,Indiana,72043,Central,PRD-5638,Technology,Accessories,Accessories Item,3121.74,8,0.48,385.73,2,3,4,At Risk
270,CA-2017-187500,2017-03-09,2017-03-11,Same Day,CG-83815,Chris Wilson,Consumer,United States,Milwaukee,Indiana,58409,Central,PRD-6902,Furniture,Chairs,Task Chair,263.92,10,0.12,101.15,4,5,1,Loyal
271,CA-2016-198992,2017-05-19,2017-05-22,Standard Class,CG-73390,John Smith,Home Office,United States,Kansas City,Michigan,24461,Central,PRD-7139,Office Supplies,Storage,Storage Item,1093.72,9,0.36,-96.19,5,4,2,Loyal
272,CA-2017-180301,2014-08-08,2014-08-21,First Class,CG-41886,Tom Anderson,Consumer,United States,Milwaukee,Iowa,47957,Central,PRD-1510,Office Supplies,Pens,Pens Item,2762.95,3,0.12,995.61,1,2,3,At Risk
273,CA-2017-171810,2015-11-18,2015-12-01,Second Class,CG-54520,Chris Wilson,Home Office,United States,Detroit,Michigan,25432,Central,PRD-1730,Furniture,Bookcases,Bookcases Item,792.03,2,0.12,56.4,3,3,1,Loyal
274,CA-2017-120861,2015-08-06,2015-08-13,First Class,CG-70142,Tom Anderson,Corporate,United States,Houston,Florida,49748,South,PRD-1418,Office Supplies,Paper,Specialty Paper,1927.61,5,0.02,54.49,2,4,2,At Risk
275,CA-2017-158991,2016-07-19,2016-07-20,First Class,CG-99337,John Smith,Home Office,United States,Atlanta,Georgia,28726,South,PRD-9368,Furniture,Tables,Training Table,2592.33,4,0.04,-397.16,4,5,3,Loyal
276,CA-2016-198536,2017-08-06,2017-08-11,Same Day,CG-70387,Sarah Williams,Home Office,United States,Baltimore,Massachusetts,16376,East,PRD-4520,Technology,Machines,Machines Item,909.77,4,0.2,153.22,5,4,1,Loyal
277,CA-2015-183579,2017-01-17,2017-01-31,Same Day,CG-86916,David Brown,Consumer,United States,Miami,Florida,33996,South,PRD-1534,Office Supplies,Labels,Labels Item,2220.47,10,0.48,514.36,4,5,3,Loyal
278,CA-2016-168327,2016-12-09,2016-12-20,Standard Class,CG-13584,Amy Martinez,Corporate,United States,Los Angeles,Arizona,81766,West,PRD-2285,Technology,Computers,HP Desktop,3472.91,6,0.14,688.38,4,1,4,Regular
279,CA-2017-182149,2016-10-08,2016-10-11,Standard Class,CG-73172,Chris Wilson,Home Office,United States,Atlanta,Alabama,64732,South,PRD-9249,Furniture,Tables,Computer Table,1935.99,3,0.06,148.77,4,4,2,Loyal
280,CA-2015-135992,2014-10-02,2014-10-14,Second Class,CG-25239,David Brown,Home Office,United States,Seattle,Oregon,84155,West,PRD-9830,Technology,Accessories,Accessories Item,3338.3,8,0.0,555.02,1,1,4,At Risk
281,CA-2017-110155,2016-10-29,2016-11-12,First Class,CG-43792,David Brown,Consumer,United States,Denver,Colorado,72289,West,PRD-1842,Technology,Phones,Google Pixel,1373.87,6,0.11,131.18,4,2,2,Regular
282,CA-2016-130735,2016-08-16,2016-08-19,Same Day,CG-18854,Amy Martinez,Corporate,United States,Hartford,Delaware,93422,East,PRD-9592,Technology,Accessories,Accessories Item,3732.4,4,0.06,467.24,4,1,4,Regular
283,CA-2016-144020,2015-07-13,2015-07-17,Same Day,CG-60157,Mike Johnson,Consumer,United States,Denver,Nevada,29527,West,PRD-6192,Technology,Accessories,Accessories Item,2821.19,7,0.35,886.46,2,3,3,At Risk
284,CA-2016-170798,2015-01-30,2015-02-02,Second Class,CG-93055,Chris Wilson,Consumer,United States,Nashville,Alabama,97097,South,PRD-5801,Office Supplies,Paper,Specialty Paper,787.72,8,0.21,114.03,2,5,1,At Risk
285,CA-2014-118136,2014-08-19,2014-08-31,Same Day,CG-38885,David Brown,Consumer,United States,San Francisco,Nevada,61825,West,PRD-4982,Furniture,Bookcases,Bookcases Item,2015.36,5,0.17,124.71,1,2,3,At Risk
286,CA-2015-130311,2015-11-09,2015-11-15,First Class,CG-98724,Kate Taylor,Consumer,United States,Atlanta,Kentucky,97876,South,PRD-6157,Office Supplies,Paper,Cardstock,3911.48,10,0.22,384.64,3,5,4,Loyal
287,CA-2017-190957,2014-11-29,2014-12-13,First Class,CG-40137,John Smith,Home Office,United States,Los Angeles,Colorado,31707,West,PRD-4949,Technology,Phones,Google Pixel,997.07,8,0.07,306.41,2,2,2,At Risk
288,CA-2015-192591,2016-07-28,2016-08-01,Second Class,CG-51383,Tom Anderson,Corporate,United States,Indianapolis,Michigan,83537,Central,PRD-6929,Office Supplies,Storage,Storage Item,2062.34,9,0.32,623.29,4,5,5,Champion
289,CA-2015-108418,2017-08-20,2017-09-02,First Class,CG-64057,Mike Johnson,Corporate,United States,Chicago,Michigan,35221,Central,PRD-9284,Furniture,Bookcases,Bookcases Item,2348.21,6,0.06,-287.2,5,3,3,Loyal
290,CA-2017-153424,2015-06-11,2015-06-25,Standard Class,CG-56281,Amy Martinez,Consumer,United States,Milwaukee,Michigan,34824,Central,PRD-8932,Furniture,Bookcases,Bookcases Item,4341.47,3,0.18,476.13,2,3,5,At Risk
291,CA-2016-171121,2015-01-17,2015-01-28,First Class,CG-77699,Amy Martinez,Consumer,United States,Los Angeles,Oregon,25765,West,PRD-7862,Technology,Computers,HP Desktop,661.47,5,0.49,-54.44,2,4,1,At Risk
292,CA-2017-154496,2014-01-29,2014-02-05,Standard Class,CG-80208,Jane Doe,Home Office,United States,Philadelphia,Connecticut,36975,East,PRD-5013,Furniture,Tables,Computer Table,4656.95,10,0.19,1846.55,1,4,5,At Risk
293,CA-2014-127110,2015-11-22,2015-11-30,Same Day,CG-11274,Tom Anderson,Consumer,United States,Baltimore,Massachusetts,21094,East,PRD-3263,Office Supplies,Labels,Labels Item,1587.91,2,0.26,-281.21,3,1,2,Regular
294,CA-2017-151049,2015-08-28,2015-08-31,Standard Class,CG-44517,Jane Doe,Consumer,United States,Nashville,Georgia,15896,South,PRD-5700,Technology,Machines,Machines Item,4665.77,5,0.14,867.76,5,5,5,Champion
295,CA-2014-175456,2017-03-08,2017-03-18,Second Class,CG-42539,Mike Johnson,Home Office,United States,Seattle,Arizona,67280,West,PRD-2932,Office Supplies,Pens,Pens Item,3065.5,2,0.33,-27.74,4,2,3,Regular
296,CA-2017-162518,2017-10-13,2017-10-24,Second Class,CG-47655,Kate Taylor,Corporate,United States,Boston,Maryland,79193,East,PRD-7898,Furniture,Furnishings,Furnishings Item,3679.23,7,0.43,421.76,5,3,4,Loyal
297,CA-2014-146105,2015-01-31,2015-02-05,Second Class,CG-22190,Tom Anderson,Corporate,United States,Houston,Georgia,21930,South,PRD-9096,Technology,Computers,Apple MacBook,4380.82,9,0.07,171.54,2,1,5,At Risk
298,CA-2016-198759,2014-12-26,2015-01-06,Second Class,CG-62288,Mike Johnson,Consumer,United States,Milwaukee,Illinois,32040,Central,PRD-8439,Technology,Computers,Dell Laptop,3384.19,7,0.19,-298.68,2,3,4,At Risk
299,CA-2017-154921,2017-06-05,2017-06-12,Second Class,CG-98302,Chris Wilson,Corporate,United States,Miami,Arkansas,43496,South,PRD-7858,Furniture,Tables,Conference Table,3936.94,1,0.09,689.44,5,5,4,Champion
300,CA-2015-163993,2017-08-01,2017-08-08,First Class,CG-54825,Chris Wilson,Corporate,United States,Indianapolis,Indiana,63382,Central,PRD-8698,Office Supplies,Labels,Labels Item,437.89,2,0.33,-25.18,5,3,1,Loyal
301,CA-2015-135774,2016-04-10,2016-04-18,Same Day,CG-19965,Lisa Davis,Corporate,United States,Hartford,Connecticut,52636,East,PRD-1558,Technology,Phones,iPhone,53.26,4,0.47,-8.99,3,1,1,Regular
302,CA-2017-163654,2016-05-25,2016-05-27,Standard Class,CG-82686,Amy Martinez,Home Office,United States,Boston,Connecticut,49062,East,PRD-3735,Office Supplies,Binders,Sheet Protectors,4312.62,5,0.12,-165.62,3,4,5,Loyal
303,CA-2014-150968,2016-11-21,2016-12-02,Standard Class,CG-33394,John Smith,Corporate,United States,Seattle,Arizona,28672,West,PRD-9672,Furniture,Tables,Computer Table,273.24,8,0.24,-49.75,4,2,1,Regular
304,CA-2016-187670,2015-11-03,2015-11-16,Same Day,CG-72463,Mike Johnson,Consumer,United States,Seattle,Colorado,59219,West,PRD-6805,Office Supplies,Storage,Storage Item,4264.48,8,0.14,1436.4,3,4,5,Loyal
305,CA-2017-194919,2014-06-27,2014-07-10,Second Class,CG-51139,Amy Martinez,Consumer,United States,Detroit,Illinois,41407,Central,PRD-4955,Furniture,Furnishings,Furnishings Item,1573.34,9,0.02,25.51,1,3,2,At Risk
306,CA-2015-161261,2016-03-31,2016-04-02,Second Class,CG-56338,Kate Taylor,Home Office,United States,Hartford,Maryland,76115,East,PRD-2950,Technology,Machines,Machines Item,4510.0,10,0.0,1789.04,3,3,5,Loyal
307,CA-2015-181560,2017-10-02,2017-10-09,Standard Class,CG-38647,Sarah Williams,Consumer,United States,Seattle,Arizona,17947,West,PRD-2765,Office Supplies,Pens,Pens Item,1023.01,5,0.23,29.22,5,2,2,Regular
308,CA-2014-151645,2014-07-15,2014-07-24,Second Class,CG-85197,Amy Martinez,Home Office,United States,Nashville,Georgia,63356,South,PRD-6815,Technology,Phones,iPhone,761.51,9,0.03,130.77,1,5,1,At Risk
309,CA-2014-111003,2015-01-14,2015-01-26,First Class,CG-45268,Jane Doe,Consumer,United States,Chicago,Kansas,63411,Central,PRD-8368,Office Supplies,Storage,Storage Item,1072.93,10,0.44,226.78,2,2,2,At Risk
310,CA-2017-117786,2014-10-15,2014-10-20,First Class,CG-33957,David Brown,Consumer,United States,Philadelphia,Connecticut,82623,East,PRD-5739,Technology,Accessories,Accessories Item,4204.99,7,0.03,595.07,1,2,5,At Risk
311,CA-2017-123819,2016-09-04,2016-09-16,First Class,CG-99536,Lisa Davis,Consumer,United States,Milwaukee,Indiana,95400,Central,PRD-4005,Office Supplies,Paper,Specialty Paper,1821.07,4,0.23,-330.74,4,5,2,Loyal
312,CA-2014-134099,2015-10-25,2015-10-31,Same Day,CG-34925,Mike Johnson,Corporate,United States,Hartford,Maine,63313,East,PRD-1127,Technology,Phones,iPhone,4547.14,5,0.14,-568.87,3,2,5,Regular
313,CA-2017-142906,2015-05-24,2015-06-01,Same Day,CG-75404,Jane Doe,Home Office,United States,Phoenix,Arizona,36667,West,PRD-8430,Technology,Machines,Machines Item,2921.41,1,0.21,-94.19,2,4,3,At Risk
314,CA-2015-159598,2014-01-14,2014-01-22,First Class,CG-36170,Jane Doe,Consumer,United States,Hartford,Maine,32044,East,PRD-8185,Office Supplies,Pens,Pens Item,4142.99,7,0.44,518.13,1,2,5,At Risk
315,CA-2016-144236,2015-06-19,2015-06-25,Same Day,CG-40783,Jane Doe,Consumer,United States,Baltimore,Massachusetts,82764,East,PRD-2587,Furniture,Bookcases,Bookcases Item,2380.69,8,0.07,635.71,2,2,3,At Risk
316,CA-2017-136471,2016-02-25,2016-03-06,First Class,CG-41726,Amy Martinez,Consumer,United States,Los Angeles,Arizona,70902,West,PRD-9082,Furniture,Bookcases,Bookcases Item,3520.98,10,0.14,19.64,3,2,4,Regular
317,CA-2017-133065,2015-04-28,2015-04-29,Second Class,CG-44787,Lisa Davis,Home Office,United States,Atlanta,Arkansas,17887,South,PRD-9481,Office Supplies,Binders,Sheet Protectors,1455.81,2,0.21,35.98,2,2,2,At Risk
318,CA-2014-161644,2016-07-03,2016-07-17,Same Day,CG-37102,Jane Doe,Corporate,United States,Phoenix,Colorado,42884,West,PRD-5673,Technology,Accessories,Accessories Item,516.48,8,0.01,-25.45,4,2,1,Regular
319,CA-2014-198176,2015-07-01,2015-07-14,First Class,CG-40042,Tom Anderson,Home Office,United States,San Francisco,Colorado,86697,West,PRD-6219,Office Supplies,Storage,Storage Item,2813.82,7,0.39,1014.49,2,2,3,At Risk
320,CA-2014-145870,2015-11-07,2015-11-21,Same Day,CG-36577,Chris Wilson,Home Office,United States,Miami,Alabama,80004,South,PRD-4451,Furniture,Tables,Conference Table,4505.08,7,0.26,161.75,3,2,5,Regular
321,CA-2015-185215,2015-09-11,2015-09-23,Standard Class,CG-42728,Tom Anderson,Corporate,United States,Chicago,Iowa,61813,Central,PRD-5558,Office Supplies,Labels,Labels Item,768.56,6,0.29,120.02,2,2,1,At Risk
322,CA-2014-185426,2017-04-07,2017-04-09,Standard Class,CG-91080,Kate Taylor,Corporate,United States,Milwaukee,Indiana,46629,Central,PRD-2629,Technology,Machines,Machines Item,2081.78,2,0.17,-171.4,5,5,3,Loyal
323,CA-2014-198858,2017-03-19,2017-03-31,First Class,CG-56665,Mike Johnson,Consumer,United States,Phoenix,California,76167,West,PRD-3713,Office Supplies,Pens,Pens Item,2666.2,3,0.32,31.49,5,3,3,Loyal
324,CA-2014-132411,2014-01-24,2014-02-01,First Class,CG-30446,Chris Wilson,Home Office,United States,Houston,Florida,69338,South,PRD-5486,Furniture,Bookcases,Bookcases Item,3095.26,3,0.22,894.95,1,2,4,At Risk
325,CA-2015-102671,2015-06-20,2015-07-01,First Class,CG-23983,Tom Anderson,Home Office,United States,Houston,Arkansas,54778,South,PRD-4664,Office Supplies,Storage,Storage Item,799.82,2,0.34,-18.8,2,1,1,At Risk
326,CA-2015-131266,2017-08-31,2017-09-11,Standard Class,CG-25712,Chris Wilson,Corporate,United States,Hartford,Maryland,53051,East,PRD-5250,Furniture,Bookcases,Bookcases Item,2766.08,6,0.14,506.14,5,1,3,Regular
327,CA-2015-162070,2016-01-07,2016-01-19,Same Day,CG-20287,John Smith,Consumer,United States,Chicago,Indiana,89794,Central,PRD-5565,Technology,Phones,iPhone,2353.14,1,0.24,424.43,3,1,3,Regular
328,CA-2014-173920,2017-11-19,2017-11-25,Standard Class,CG-98580,Mike Johnson,Consumer,United States,Los Angeles,Arizona,98172,West,PRD-9334,Furniture,Chairs,Executive Chair,4916.68,1,0.2,-590.7,5,5,5,Champion
329,CA-2015-160952,2015-04-29,2015-05-13,First Class,CG-96956,Lisa Davis,Corporate,United States,Hartford,Maryland,74091,East,PRD-1651,Furniture,Chairs,Ergonomic Chair,3452.92,2,0.08,413.04,2,5,4,At Risk
330,CA-2016-148351,2014-05-08,2014-05-10,First Class,CG-74574,Kate Taylor,Consumer,United States,Los Angeles,Oregon,95078,West,PRD-9001,Technology,Computers,Dell Laptop,4519.22,5,0.11,658.14,1,4,5,At Risk
331,CA-2015-179415,2017-09-29,2017-10-12,First Class,CG-90455,Mike Johnson,Consumer,United States,Chicago,Michigan,98029,Central,PRD-4328,Furniture,Bookcases,Bookcases Item,4880.86,2,0.45,-187.66,5,5,5,Champion
332,CA-2014-121465,2014-08-31,2014-09-09,First Class,CG-10868,Mike Johnson,Consumer,United States,Seattle,Arizona,59332,West,PRD-7987,Office Supplies,Labels,Labels Item,3322.71,9,0.01,115.73,1,1,4,At Risk
333,CA-2016-114168,2016-08-11,2016-08-18,First Class,CG-80972,Mike Johnson,Home Office,United States,Miami,Georgia,11105,South,PRD-9534,Technology,Accessories,Accessories Item,741.76,9,0.12,237.23,4,4,1,Loyal
334,CA-2014-140888,2015-09-21,2015-09-25,First Class,CG-15539,Mike Johnson,Corporate,United States,Indianapolis,Kansas,35295,Central,PRD-5832,Furniture,Furnishings,Furnishings Item,2230.07,5,0.24,713.12,2,1,3,At Risk
335,CA-2017-151990,2014-11-24,2014-12-01,Second Class,CG-73214,John Smith,Consumer,United States,San Francisco,Arizona,12592,West,PRD-8082,Furniture,Chairs,Task Chair,3780.81,3,0.11,-314.79,2,4,4,At Risk
336,CA-2015-109961,2016-04-10,2016-04-24,Second Class,CG-58653,Chris Wilson,Corporate,United States,Miami,Florida,21792,South,PRD-2423,Office Supplies,Pens,Pens Item,686.64,2,0.47,258.37,3,3,1,Loyal
337,CA-2015-113356,2017-11-06,2017-11-10,Second Class,CG-91352,David Brown,Consumer,United States,Miami,Arkansas,74724,South,PRD-2908,Furniture,Bookcases,Bookcases Item,1910.94,7,0.25,676.97,5,5,2,Loyal
338,CA-2016-189687,2016-10-26,2016-11-03,Standard Class,CG-51342,David Brown,Consumer,United States,Houston,Alabama,74597,South,PRD-4644,Office Supplies,Binders,Sheet Protectors,1903.06,4,0.47,686.48,4,3,2,Loyal
339,CA-2014-174177,2017-12-11,2017-12-16,Same Day,CG-74532,Amy Martinez,Corporate,United States,New York,Connecticut,93681,East,PRD-3567,Technology,Phones,Samsung Galaxy,860.59,1,0.05,3.54,5,4,1,Loyal
340,CA-2014-145508,2015-09-29,2015-10-05,First Class,CG-85303,David Brown,Home Office,United States,Seattle,Arizona,84593,West,PRD-5523,Technology,Machines,Machines Item,109.57,10,0.36,-11.1,3,5,1,Loyal
341,CA-2017-186706,2017-11-14,2017-11-28,Second Class,CG-46009,Mike Johnson,Corporate,United States,Phoenix,California,35397,West,PRD-2213,Office Supplies,Labels,Labels Item,3443.73,1,0.26,-524.26,5,2,4,Regular
342,CA-2016-109038,2014-08-29,2014-09-03,Standard Class,CG-74330,Jane Doe,Consumer,United States,Hartford,Connecticut,26809,East,PRD-1628,Technology,Machines,Machines Item,4091.58,1,0.34,852.35,1,4,5,At Risk
343,CA-2016-101658,2017-08-01,2017-08-07,Same Day,CG-33969,Mike Johnson,Corporate,United States,Indianapolis,Indiana,84698,Central,PRD-9540,Office Supplies,Binders,Sheet Protectors,4655.4,2,0.14,-15.23,5,2,5,Regular
344,CA-2017-164251,2015-08-28,2015-09-06,First Class,CG-76995,Sarah Williams,Consumer,United States,Philadelphia,Massachusetts,35146,East,PRD-1583,Office Supplies,Paper,Specialty Paper,2928.61,6,0.33,350.92,2,4,3,At Risk
345,CA-2014-156822,2016-01-23,2016-02-02,First Class,CG-46735,John Smith,Consumer,United States,Milwaukee,Michigan,43150,Central,PRD-3242,Technology,Phones,iPhone,917.35,10,0.4,2.51,3,2,1,Regular
